"HypocotylValues.Well" "HypocotylValues.Value" "RootValues.Value"
"423" "25" 6.973 3.813
"424" "25" 8.926 4.589
"425" "25" 5.502 2.932
"426" "25" 8.488 4.609
"427" "25" 9.263 5.623
"428" "25" 8.131 5.224
"429" "25" 8.4 3.606
"430" "25" 7.066 2.596
"431" "25" 8.526 4.051
"432" "25" 7.957 4.954
"433" "25" 8.841 4.754
"434" "5" 8.638 5.148
"435" "5" 7.638 4.248
"436" "5" 7.402 4.378
"437" "5" 8.491 4.778
"438" "5" 7.995 4.043
"439" "5" 7.912 4.389
"440" "5" 7.575 3.554
"441" "5" 9.347 4.206
"442" "5" 8.392 3.413
"443" "5" 6.858 4.615
"444" "5" 7.927 3.17
"445" "5" 8.676 4.848
"446" "1" 11.547 4.351
"447" "1" 9.593 3.244
"448" "1" 9.391 3.766
"449" "1" 7.725 5.084
"450" "1" 7.709 2.581
"451" "1" 8.173 3.43
"452" "1" 8.363 4.175
"453" "1" 9.469 3.656
"454" "1" 9.342 3.882
"455" "1" 8.738 4.326
"456" "1" 9.45 4.015
"457" "1" 9.1 4.147
"458" "0" 10.079 4.557
"459" "0" 8.592 3.473
"460" "0" 10.609 4.191
"461" "0" 9.139 2.497
"462" "0" 10.888 4.728
"463" "0" 10.289 2.88
"464" "0" 5.695 3.742
"465" "0" 7.991 4.222
"466" "0" 11.84 4.378
"467" "0" 10.087 3.519
"468" "0" 9.766 4.479
"469" "0" 9.514 4.804
"470" "0" 10.802 3.64
"471" "0" 11.329 4.524
"472" "0" 9.998 4.123
"473" "0" 10.338 4.474
"474" "0" 8.003 3.164
"475" "0" 9.04 3.495
"476" "0" 10.01 3.17
"477" "0" 10.524 4.057
"478" "0" 9.55 3.612
"479" "0" 7.816 3.886
"480" "0" 9.163 4.747
"481" "0" 10.37 4.562
"482" "0" 9.491 3.87
"483" "0" 9.113 3.16
"484" "0" 11.682 5.281
"485" "0" 11.351 4.804
"486" "0" 9.26 5.137
"487" "0" 8.812 3.456
"488" "0" 9.378 3.775
"489" "0" 9.117 3.963
"490" "0" 10.106 5.101
"491" "0" 9.255 4.47
"492" "0" 8.558 3.282
"493" "0" 8.829 4.842
"494" "0" 8.052 3.638
"495" "0" 9.698 5.447
"496" "0" 9.006 6.821
"497" "0" 9.965 3.665
"498" "0" 8.578 3.257
"499" "0" 8.183 3.517
"500" "0" 9.038 4.395
"501" "0" 10.332 4.953
"502" "0" 8.357 5.043
"503" "0" 8.142 3.269
"504" "0" 10.246 4.883
"505" "0" 8.151 2.583
"506" "0" 9.296 5.369
"507" "0" 7.477 4.199
"508" "0" 8.794 4.25
"509" "0" 9.727 4.479
"510" "0" 7.328 3.19
"511" "0" 9.278 2.583
"512" "0" 9.771 4.097
"513" "0" 10.28 4.966
"514" "0" 9.715 4.574
"515" "100" 3.232 1.532
"516" "100" 2.348 0.61
"517" "100" 2.192 1.073
"518" "100" 2.633 0.85
"519" "100" 2.288 1.189
"520" "100" 2.771 0.94
"521" "100" 2.946 1.325
"522" "100" 3.25 1.248
"523" "100" 2.767 1.254
"524" "100" 3.675 0.857
"525" "100" 3.492 0.841
"526" "75" 3.951 1.515
"527" "75" 3.198 1.033
"528" "75" 2.958 1.002
"529" "75" 3.102 2.299
"530" "75" 3.055 1.367
"531" "75" 3.234 1.2
"532" "75" 3.146 1.43
"533" "75" 3.144 1.066
"534" "75" 3.379 1.37
"535" "50" 3.484 1.604
"536" "50" 4.47 2.416
"537" "50" 4.52 1.88
"538" "50" 3.968 1.845
"539" "50" 4.009 2.111
"540" "50" 4.087 1.005
"541" "50" 3.926 1.68
"542" "50" 4.401 2.375
"543" "50" 5.094 1.724
"544" "50" 4.446 1.226
"545" "50" 3.599 1.448
"546" "50" 4.652 2.196
"547" "25" 7.785 3.862
"548" "25" 8.092 3.222
"549" "25" 7.928 2.934
"550" "25" 7.226 3.255
"551" "25" 7.26 4.444
"552" "25" 6.822 2.508
"553" "25" 6.547 3.84
"554" "25" 7.884 3.479
"555" "25" 5.11 3.917
"556" "25" 7.824 3.699
"557" "5" 7.257 3.069
"558" "5" 9.412 4.672
"559" "5" 9.542 3.873
"560" "5" 8.638 4.726
"561" "5" 9.317 4.306
"562" "5" 7.742 4.025
"563" "5" 8.609 3.516
"564" "5" 7.461 3.568
"565" "5" 10.236 3.346
"566" "5" 9.652 4.343
"567" "5" 9.996 5.157
"568" "1" 9.697 4.569
"569" "1" 10.884 4.06
"570" "1" 7.812 5.922
"571" "1" 8.062 3.341
"572" "1" 8.907 3.743
"573" "1" 7.677 4.826
"574" "1" 8.994 3.977
"575" "1" 7.841 4.155
"576" "1" 10.529 5.198
"577" "1" 9.226 4.582
"578" "1" 8.53 6.004
"579" "0" 9.048 3.82
"580" "0" 9.316 4.723
"581" "0" 10.009 4.547
"582" "0" 9.335 4.284
"583" "0" 11.721 4.305
"584" "0" 7.388 3.787
"585" "0" 9.624 3.617
"586" "0" 10.051 3.794
"587" "0" 9.387 4.459
"588" "0" 10.739 5.25
"589" "0" 9.873 4.179
"590" "0" 9.133 2.483
"591" "0" 10.064 3.621
"592" "0" 11.565 5.166
"593" "0" 10.402 2.157
"594" "0" 10.858 6.474
"595" "0" 9.958 3.25
"596" "0" 9.661 3.867
"597" "0" 10.073 3.482
"598" "0" 10.208 4.903
"599" "0" 7.261 5.259
"600" "0" 8.966 4.736
"601" "0" 9.882 2.06
"602" "0" 10.221 5.163
"603" "0" 10.625 3.009
"604" "0" 10.12 3.58
"605" "0" 9.721 4.136
"606" "0" 9.235 3.74
"607" "0" 8.017 2.956
"608" "0" 9.76 2.091
"609" "0" 10.153 3.782
"610" "0" 10.477 4.136
"611" "0" 11.273 4.113
"612" "0" 9.49 4.226
"613" "0" 10.095 2.952
"614" "0" 9.766 3.338
"615" "0" 10.69 3.08
"616" "0" 10.973 2.836
"617" "0" 9.125 3.281
"618" "0" 9.34 2.252
"619" "0" 10.37 4.833
"620" "0" 8.011 3.405
"621" "0" 9.775 4.806
"622" "0" 10.707 3.888
"623" "0" 9.614 3.345
"624" "0" 9.927 4.014
"625" "0" 11.783 4.671
"626" "0" 10.798 5.611
"627" "0" 8.106 3.413
"628" "0" 7.417 2.737
"629" "0" 9.899 3.894
"630" "0" 8.594 5.416
"631" "0" 8.596 4.589
"632" "0" 6.7 4.226
"633" "0" 7.258 4.523
"634" "0" 7.309 5.181
"635" "0" 9.545 3.968
"636" "0" 9.124 4.18
"637" "0" 5.292 5.081
"638" "0" 9.185 3.694
"639" "0" 10.421 5.275
"640" "0" 10.213 4.47
"641" "100" 3.314 1.355
"642" "100" 1.886 0.594
"643" "100" 2.589 0.815
"644" "100" 2.814 0.892
"645" "100" 2.563 1.097
"646" "100" 3.006 0.994
"647" "100" 2.991 1.47
"648" "100" 2.847 1.525
"649" "100" 2.35 1.587
"650" "100" 2.326 1.032
"651" "100" 3.135 0.703
"652" "75" 2.858 0.665
"653" "75" 4.134 1.366
"654" "75" 5.102 2.456
"655" "75" 4.441 1.535
"656" "75" 4.41 1.509
"657" "75" 3.444 1.415
"658" "75" 3.449 1.348
"659" "75" 3.73 1.007
"660" "75" 4.032 1.72
"661" "75" 4.62 1.555
"662" "75" 3.13 2.03
"663" "75" 4.43 1.667
"664" "50" 5.176 1.903
"665" "50" 7.081 3.899
"666" "50" 5.691 2.238
"667" "50" 7.305 3.331
"668" "50" 5.643 3.029
"669" "50" 6.039 3.223
"670" "50" 5.917 2.833
"671" "50" 5.735 1.714
"672" "50" 5.28 2.637
"673" "50" 6.047 2.062
"674" "25" 9.741 4.545
"675" "25" 5.529 3.641
"676" "25" 7.794 3.769
"677" "25" 6.729 1.964
"678" "25" 8.517 4.982
"679" "25" 7.331 4.373
"680" "25" 6.842 3.97
"681" "25" 7.466 2.455
"682" "5" 8.938 5.475
"683" "5" 10.492 3.166
"684" "5" 10.01 4.068
"685" "5" 8.517 3.893
"686" "5" 8.668 2.367
"687" "5" 9.415 3.433
"688" "5" 9.221 3.318
"689" "5" 9.359 1.757
"690" "5" 9.491 4.763
"691" "5" 9.153 5.02
"692" "5" 8.434 3.167
"693" "5" 9.329 2.66
"694" "1" 8.618 4.841
"695" "1" 9.293 4.023
"696" "1" 9.088 3.692
"697" "1" 9.356 3.534
"698" "1" 9.203 3.752
"699" "1" 11.362 3.961
"700" "1" 10.246 4.186
"701" "1" 11.214 3.483
"702" "1" 10.048 3.257
"703" "0" 8.115 2.883
"704" "0" 9.837 3.698
"705" "0" 9.982 4.182
"706" "0" 8.182 4.525
"707" "0" 9.789 3.546
"708" "0" 10.905 2.267
"709" "0" 8.587 3.147
"710" "0" 9.631 2.387
"711" "0" 8.782 1.668
"712" "0" 9.595 4.469
"713" "0" 7.951 4.949
"714" "0" 8.953 3.151
"715" "0" 8.985 5.326
"716" "0" 8.101 3.644
"717" "0" 10.263 4.616
"718" "0" 10.578 3.863
"719" "0" 8.953 3.913
"720" "0" 8.785 3.844
"721" "0" 7.91 3.921
"722" "0" 8.472 4.385
"723" "0" 8.688 2.916
"724" "0" 10.447 4.871
"725" "0" 8.466 1.672
"726" "0" 10.715 4.714
"727" "0" 10.869 2.442
"728" "0" 8.383 2.545
"729" "0" 8.861 2.835
"730" "0" 10.21 1.977
"731" "0" 10.115 2.329
"732" "0" 10.084 5.518
"733" "0" 10.39 3.626
"734" "0" 8.88 3.514
"735" "0" 9.409 3.389
"736" "0" 8.586 3.772
"737" "0" 8.844 4.454
"738" "0" 8.447 4.709
"739" "0" 8.658 2.994
"740" "0" 10.445 2.629
"741" "0" 9.343 2.645
"742" "0" 10.009 4.4
"743" "0" 9.102 5.17
"744" "0" 9.594 4.885
"745" "0" 9.338 5.044
"746" "0" 8.619 2.29
"747" "0" 8.813 4.251
"748" "0" 8.322 5.523
"749" "0" 10.606 5.539
"750" "0" 9.052 2.699
"751" "0" 8.746 4.95
"752" "0" 8.113 3.023
"753" "0" 8.247 3.137
"754" "0" 8.684 3.421
"755" "0" 7.633 3.41
"756" "0" 9.754 3.949
"757" "0" 9.43 5.825
"758" "0" 9.4 4.704
"759" "0" 8.519 3.541
"760" "0" 9.435 5.464
"761" "0" 9.944 4.866
"762" "0" 8.755 4.685
"763" "0" 9.935 3.975
"764" "0" 8.305 2.771
"765" "0" 8.104 4.023
"766" "0" 10.717 4.438
"767" "0" 9.154 2.624
